ville,description,texte,mise_a_prix
Paris 5ème,Un appartement,"de 24,92 m², au 1er étage, comprenant : une pièce principale avec cuisine ouverte, une chambre, une [...]",80 000 €
Paris 6ème,Un local commercial,"de 54,98 m², au rez-de-chaussée sur rue à droite de la porte d'accès de l'immeuble, en façade [...]",96 000 €
Paris 6ème,Un local commercial à usage de boutique,"d'une surface totale Carrez de 173,58 m², comprenant : Au rez-de-chaussée : [...]",2 605 000 €
Paris 6ème,Un immeuble,"d'une superficie utile totale de 341,55 m², comprenant deux bâtiments et cour - Bâtiment A élevé sur : [...]",5 914 780 €
Paris 6ème,Un local,"au rez-de-chaussée sur cour, comprenant : deux pièces et pièce d'eau Droit aux wc communs au [...]",3 120 000 €
Paris 6ème,Un local commercial,"d'une suface totale Carrez de 173,11 m², comprenant : Au rez-de-chaussée : deux espaces vente, [...]",1 405 000 €
Paris 7ème,Un local commercial à usage de boutique,"d'une surface totale Carrez de 161,72 m², comprenant : Au rez-de-chaussée : [...]",2 685 000 €
Paris 16ème,Un appartement,"de 109 m², au 3ème étage - Une chambre de bonne de 9 m², au 8ème étage - Un débarras de 8 m², au 7ème [...]",400 000 €
Paris 17ème,Un appartement,"de 41,20 m², aux sous-sol, rez-de-chaussée et 1er niveau, accès depuis le rez-de-chaussée, 1ère porte [...]",40 000 €
Paris 8ème,Un appartement,"d'environ 146,70 m², au 2ème étage, de six pièces principales Chambre de service au 6ème étage Cave [...]",1 430 000 €
Paris 9ème,Un appartement,"de 41,15 m², escalier A, au 1er étage, porte droite, comprenant : cuisine ouverte en entrant, séjour, [...]",300 000 €
Paris 9ème,Un atelier,"de 155,25 m², bâtiment en fond de cour, escalier B, au rez-de-chaussée, comprenant : grande pièce en [...]",1 200 000 €
Paris 19ème,Une pièce,"de 29,51 m² Louée",50 000 €
Paris 11ème,Un appartement,"de 31,13 m², au 3ème étage du bâtiment, à droite dans la 2ème cour, escalier G, droite, comprenant : [...]",20 000 €
Paris 20ème,Une remise,"de 6,89 m², dans le bâtiment ""B"", dans la cour commune, au rez-de-chaussée, à gauche, comprenant : une [...]",9 900 €
Paris 20ème,Un logement,"de 13,30 m², 4ème étage, porte face droite en arrivant sur le palier, comprenant : une pièce avec [...]",15 000 €
Paris 20ème,Un logement,"de 28,55 m², au 3ème étage, porte face, d'une pièce - Une cave Libre",73 000 €
Paris 13ème,Un box,"résultant de la réunion de quatre box, au 1er sous-sol Loué",23 100 €
Paris 13ème,Un garage,"au 3ème sous-sol, portant le n°18 du plan",15 620 €
Paris 13ème,Un local à usage commercial,"de 20,99 m², bâtiment A, au rez-de-chaussée à gauche, consitant en une boutique avec [...]",25 000 €
Paris 14ème,Une cave,"au 1er sous-sol, portant le n°13",10 000 €
Paris 15ème,Un parking,"au 2ème sous-sol 1er lot de la vente du cahier des conditions de vente ""le lot n°674 de l'EDD"" [...]",10 000 €
Paris 15ème,Un parking,"au 2ème sous-sol 2ème lot de la vente du cahier des conditions de vente ""Le lot n°742 de l'EDD"" [...]","11 001,10 €"
Paris 15ème,Un studio,"bâtiment A, au 1er étage à droite, comprenant : un petit lavabo, un bac à douche Droit aux wc et au poste [...]",50 000 €
Paris 15ème,Un studio,"de 13,67 m², dans le bâtiment A, au 7ème étage en partie gauche depuis l'escalier et l'ascenseur, porte [...]",60 000 €
Paris 15ème,Un appartement,"de 36,52 m², au 3ème étage, porte gauche, comprenant : entrée/couloir de circulation, cuisine, [...]",10 680 €
Le Plessis-Robinson,Un box,portant le n°80/3,5 000 €
Asnières,Un studio,"de 11,44 m² (hors balcon), au 3ème étage, porte face gauche, comprenant : pièce principale avec [...]","25 301,57 €"
Boulogne-Billancourt,Un appartement,type B Classement énergétique : F Et les 508/101.152èmes des parties communes de l'immeuble Lot n°4 [...],190 000 €
Bois-Colombes,Un appartement,"de 56,47 m², au 2ème étage, comprenant : entrée, cuisine, salon, couloir avec placards, wc avec [...]",45 000 €
Boulogne-Billancourt,Un bâtiment à usage de bureau,"de 459,22 m², élevé sur quatre niveaux, comprenant : Au rez-de-chaussée : open [...]",2 220 000 €
Chaville,Un appartement,"de 82,04 m² (hors balcon), bâtiment C, au 1er étage à droite, comprenant : entrée, double séjour, [...]",206 500 €
Saint-Cloud,Un emplacement de parking,"bâtiment A, par l'escalier A au 1er étage (et par l'escalier B au 1er sous-sol) Occupé [...]",8 000 €
Boulogne-Billancourt,Une maison,"de 207,57 m², d'une surface au sol totale de 224,66 m² comprenant : Au sous-sol : deux chambres avec [...]",1 900 000 €
Vaucresson,Un appartement,"Au 23, rue des Fonds Huguenots de 64,31 m², bâtiment 1, au sous-sol avec accès indépendant depuis [...]",190 000 €
Vaucresson,Une parcelle de terrain,"Au 23 bis, rue des Fonds Huguenots sur laquelle est édifié un bâtiment de 33,51 m² sur deux [...]",15 000 €
